England and Wales Code,England and Wales,Sexual orientation ,Religion ,Observation, TotalPopOver16yo
K04000001,England and Wales,Straight or Heterosexual,No religion,15590165,17355646
K04000001,England and Wales,Straight or Heterosexual,Christian,22205800,23656561
K04000001,England and Wales,Straight or Heterosexual,Buddhist,209211,245508
K04000001,England and Wales,Straight or Heterosexual,Hindu,747501,823150
K04000001,England and Wales,Straight or Heterosexual,Jewish,185960,213619 
K04000001,England and Wales,Straight or Heterosexual,Muslim,2410350,2664722
K04000001,England and Wales,Straight or Heterosexual,Sikh,381788,416816
K04000001,England and Wales,Straight or Heterosexual,Other religion,236749,314921
K04000001,England and Wales,Straight or Heterosexual,Not answered,1435587,2875429
K04000001,England and Wales,AllOther,No religion,964512,17355646
K04000001,England and Wales,AllOther,Christian,396312,23656561
K04000001,England and Wales,AllOther,Buddhist,17965,245508
K04000001,England and Wales,AllOther,Hindu,14434,823150
K04000001,England and Wales,AllOther,Jewish,9604,213619
K04000001,England and Wales,AllOther,Muslim,36372,2664722
K04000001,England and Wales,AllOther,Sikh,6148,416816
K04000001,England and Wales,AllOther,Other religion,46583,314921
K04000001,England and Wales,AllOther,Not answered,44684,2875429
K04000001,England and Wales,Not answered,No religion,800969,17355646
K04000001,England and Wales,Not answered,Christian,1054449,23656561
K04000001,England and Wales,Not answered,Buddhist,18332,245508
K04000001,England and Wales,Not answered,Hindu,61217,823150
K04000001,England and Wales,Not answered,Jewish,18055,213619
K04000001,England and Wales,Not answered,Muslim,218000,2664722
K04000001,England and Wales,Not answered,Sikh,28880,416816
K04000001,England and Wales,Not answered,Other religion,31589,314921
K04000001,England and Wales,Not answered,Not answered,1395158,2875429